customerid,gender,age,city,membershiptype,totalspend,itemspurchased,averagerating,discountapplied,dayssincelastpurchase,satisfactionlevel,invoiceno,stockcode,description,quantity,invoicedate,unitprice,country,purchasedate,productcategory,productprice,totalpurchaseamount,paymentmethod,customerage,returns,customername,churn,tenure,preferredlogindevice,citytier,warehousetohome,preferredpaymentmode,hourspendonapp,numberofdeviceregistered,preferedordercat,satisfactionscore,maritalstatus,numberofaddress,complain,orderamounthikefromlastyear,couponused,ordercount,daysincelastorder,cashbackamount,orderid,pricemrp,payment,timestamp,rating,productid,paymenttype,orderstatus,productweightg,productlengthcm,productheightcm,productwidthcm,customercity,customerstate,sellerid,sellercity,sellerstate,paymentinstallments,rowid,orderdate,shipdate,shipmode,segment,countryregion,stateprovince,postalcode,region,category,subcategory,productname,sales,discount,profit
121.0,Female,43.0,Chicago,Bronze,505.75,10.0,3.3,True,41.0,Unsatisfied,536367,48187,DOORMAT NEW ENGLAND,4,12/1/2010 8:34,7.95,United Kingdom,4/21/2021 7:58,Clothing,252.0,1775.0,Credit Card,20.0,1.0,Curtis Smith,0.0,0.0,Mobile Phone,3.0,12.0,Debit Card,3.0,5.0,Laptop & Accessory,3.0,Divorced,5.0,1.0,18.0,6.0,7.0,7.0,161.72,093c11a6b12993f96cb7eaa348a3cd09,364.0,797.38,13-06-2018 08:52,5.0,6cdd53843498f92890544667809f1595,credit_card,delivered,900.0,25.0,12.0,38.0,jaboatao dos guararapes,PE,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,6.0,21.0,1/11/2020,1/14/2020,First Class,Consumer,United States,Delaware,19901,East,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",9.94,0.0,3.0814
124.0,Female,37.0,Houston,Bronze,430.8,7.0,3.4,False,23.0,Neutral,536368,22912,YELLOW COAT RACK PARIS FASHION,3,12/1/2010 8:34,4.95,United Kingdom,4/29/2023 23:31,Home,43.0,2312.0,Cash,20.0,0.0,Curtis Smith,0.0,0.0,Phone,3.0,26.0,Debit Card,3.0,5.0,Laptop & Accessory,3.0,Divorced,4.0,1.0,11.0,1.0,2.0,2.0,145.59,197d48bed0d9f4a71682dfc048409b59,349.9,381.86,20-03-2018 13:05,5.0,6cdd53843498f92890544667809f1595,credit_card,delivered,900.0,25.0,12.0,38.0,maceio,AL,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,7.0,24.0,1/13/2020,1/18/2020,Standard Class,Consumer,United States,California,94109,West,Office Supplies,Art,4009 Highlighters by Sanford,19.9,0.0,6.567
125.0,Female,31.0,New York,Gold,1140.6,15.0,4.6,True,27.0,Satisfied,536368,22914,BLUE COAT RACK PARIS FASHION,3,12/1/2010 8:34,4.95,United Kingdom,7/4/2022 16:04,Home,30.0,642.0,PayPal,20.0,1.0,Curtis Smith,0.0,14.0,Computer,1.0,14.0,Debit Card,2.0,5.0,Fashion,2.0,Single,3.0,0.0,15.0,0.0,1.0,3.0,206.5,3553afcee0e882963fee338dca8daf7c,349.9,370.52,20-03-2018 14:15,5.0,6cdd53843498f92890544667809f1595,credit_card,delivered,900.0,25.0,12.0,38.0,rio de janeiro,RJ,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,6.0,25.0,1/13/2020,1/18/2020,Standard Class,Consumer,United States,Ohio,43055,East,Office Supplies,Binders,Avery Metallic Poly Binders,3.438,0.7,-2.5212
126.0,Male,35.0,Los Angeles,Silver,810.9,12.0,4.3,False,13.0,Neutral,536369,21756,BATH BUILDING BLOCK WORD,3,12/1/2010 8:35,5.95,United Kingdom,8/1/2021 5:27,Electronics,30.0,5024.0,Credit Card,20.0,1.0,Curtis Smith,0.0,0.0,Phone,1.0,15.0,Credit Card,2.0,3.0,Mobile Phone,5.0,Single,8.0,0.0,22.0,1.0,1.0,4.0,142.0,9786fe4bfc559809a4bc1a58b72e2077,349.9,368.92,21-08-2017 23:44,4.0,6cdd53843498f92890544667809f1595,credit_card,delivered,900.0,25.0,12.0,38.0,rio de janeiro,RJ,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,8.0,26.0,1/13/2020,1/15/2020,Second Class,Corporate,United States,Louisiana,71111,South,Office Supplies,Binders,3-ring staple pack,5.64,0.0,2.7072
130.0,Female,36.0,Houston,Bronze,460.5,8.0,3.1,False,19.0,Neutral,536370,21724,PANDA AND BUNNIES STICKER SHEET,12,12/1/2010 8:45,0.85,France,11/14/2021 10:23,Books,66.0,250.0,PayPal,20.0,1.0,Curtis Smith,0.0,5.0,Computer,3.0,14.0,E wallet,2.0,3.0,Fashion,2.0,Single,2.0,0.0,14.0,2.0,3.0,7.0,189.98,3cbdfe7eddec3865455541546f081546,349.9,377.03,9/4/2018 10:18,5.0,6cdd53843498f92890544667809f1595,boleto,delivered,900.0,25.0,12.0,38.0,nova friburgo,RJ,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,1.0,30.0,1/13/2020,1/15/2020,Second Class,Corporate,United States,Louisiana,71111,South,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,572.58,0.0,34.3548
131.0,Female,30.0,New York,Gold,1190.8,16.0,4.5,True,20.0,Satisfied,536370,21883,STARS GIFT TAPE ,24,12/1/2010 8:45,0.65,France,11/17/2020 13:14,Electronics,102.0,5206.0,Credit Card,53.0,1.0,Jose Green,0.0,2.0,Computer,1.0,6.0,COD,2.0,3.0,Laptop & Accessory,3.0,Divorced,2.0,0.0,13.0,0.0,1.0,9.0,143.19,a4b30e4c46015671c65f51173324a3f7,349.9,396.2,31-08-2017 21:20,5.0,6cdd53843498f92890544667809f1595,credit_card,delivered,900.0,25.0,12.0,38.0,morada nova,CE,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,2.0,31.0,1/13/2020,1/18/2020,Standard Class,Consumer,United States,California,94109,West,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,1325.85,0.0,238.653
132.0,Male,33.0,Los Angeles,Silver,830.75,13.0,4.2,False,14.0,Satisfied,536370,10002,INFLATABLE POLITICAL GLOBE ,48,12/1/2010 8:45,0.85,France,5/7/2021 9:54,Books,187.0,629.0,PayPal,53.0,1.0,Jose Green,0.0,0.0,Mobile Phone,1.0,13.0,Credit Card,2.0,4.0,Laptop & Accessory,3.0,Divorced,3.0,0.0,17.0,1.0,1.0,0.0,161.32,d85c2deca369a3930811855341fb3d11,349.9,368.6,23-11-2017 16:19,5.0,6cdd53843498f92890544667809f1595,boleto,delivered,900.0,25.0,12.0,38.0,sao paulo,SP,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,1.0,32.0,1/13/2020,1/15/2020,Second Class,Corporate,United States,Louisiana,71111,South,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,646.74,0.0,258.696
133.0,Female,42.0,Chicago,Bronze,520.4,9.0,3.5,True,37.0,Unsatisfied,536370,21791,VINTAGE HEADS AND TAILS CARD GAME ,24,12/1/2010 8:45,1.25,France,9/7/2022 5:06,Books,86.0,843.0,Credit Card,53.0,1.0,Jose Green,0.0,30.0,Phone,1.0,15.0,CC,3.0,4.0,Mobile,4.0,Divorced,5.0,1.0,20.0,1.0,1.0,0.0,133.46,917d66c0042ba4ce09a08ed7023da134,349.9,369.6,8/2/2018 21:46,4.0,6cdd53843498f92890544667809f1595,credit_card,delivered,900.0,25.0,12.0,38.0,marilia,SP,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,8.0,33.0,1/14/2020,1/15/2020,First Class,Corporate,United States,Pennsylvania,19140,East,Furniture,Bookcases,Sauder Cornerstone Collection Library,61.96,0.5,-53.2856
134.0,Male,29.0,San Francisco,Gold,1370.2,18.0,4.7,False,10.0,Satisfied,536370,21035,SET/2 RED RETROSPOT TEA TOWELS ,18,12/1/2010 8:45,2.95,France,7/5/2020 6:30,Electronics,364.0,1008.0,Credit Card,53.0,0.0,Jose Green,0.0,13.0,Mobile Phone,3.0,10.0,E wallet,3.0,4.0,Fashion,2.0,Divorced,8.0,0.0,11.0,2.0,2.0,11.0,208.55,1f9fa4b707b82f25dbf52e6695842e8c,349.9,378.61,31-01-2017 12:33,4.0,6cdd53843498f92890544667809f1595,boleto,delivered,900.0,25.0,12.0,38.0,catole do rocha,PB,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,1.0,34.0,1/15/2020,1/17/2020,First Class,Consumer,United States,Georgia,30076,South,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,149.95,0.0,65.978
139.0,Female,43.0,Chicago,Bronze,500.75,10.0,3.3,True,40.0,Unsatisfied,536370,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,12/1/2010 8:45,0.85,France,4/20/2020 14:08,Electronics,165.0,603.0,Credit Card,57.0,0.0,Linda Lee,0.0,30.0,Mobile Phone,1.0,30.0,Debit Card,2.0,2.0,Fashion,2.0,Married,4.0,1.0,16.0,1.0,1.0,4.0,194.39,7aa518be998a5e4ae20ebc594ddc96e0,349.9,368.92,23-09-2017 10:49,4.0,6cdd53843498f92890544667809f1595,credit_card,delivered,900.0,25.0,12.0,38.0,rio de janeiro,RJ,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,8.0,39.0,1/18/2020,1/21/2020,Second Class,Corporate,United States,Oregon,97477,West,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,64.864,0.2,6.4864
150.0,Male,34.0,Los Angeles,Silver,790.2,11.0,4.0,False,15.0,Neutral,536373,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 9:02,2.55,United Kingdom,9/13/2020 15:30,Home,287.0,3908.0,Cash,45.0,0.0,Ellen Kent,0.0,18.0,Mobile Phone,3.0,10.0,Debit Card,1.0,3.0,Laptop & Accessory,5.0,Married,5.0,1.0,11.0,0.0,1.0,3.0,150.06,5d3a31f4c1c7625511f6d9b2bdc3b20a,364.0,428.58,10/6/2018 20:02,5.0,6cdd53843498f92890544667809f1595,boleto,delivered,900.0,25.0,12.0,38.0,caruaru,PE,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,1.0,50.0,1/20/2020,1/26/2020,Standard Class,Consumer,United States,Arkansas,72401,South,Office Supplies,Art,Newell 351,22.96,0.0,6.6584
151.0,Female,43.0,Chicago,Bronze,505.75,10.0,3.3,True,39.0,Unsatisfied,536373,71053,WHITE METAL LANTERN,6,12/1/2010 9:02,3.39,United Kingdom,8/29/2021 21:13,Home,400.0,4889.0,Cash,45.0,1.0,Ellen Kent,0.0,29.0,Phone,1.0,14.0,Debit Card,3.0,3.0,Mobile Phone,5.0,Married,5.0,1.0,18.0,1.0,2.0,2.0,142.57,d9cd31e853bff10e7c7827e48e26caa5,349.9,529.54,4/4/2018 12:17,4.0,6cdd53843498f92890544667809f1595,credit_card,delivered,900.0,25.0,12.0,38.0,natividade,RJ,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,8.0,51.0,1/20/2020,1/26/2020,Standard Class,Consumer,United States,Arkansas,72401,South,Office Supplies,Art,Newell 327,6.63,0.0,1.7901
153.0,Male,27.0,Miami,Silver,710.4,13.0,4.1,True,54.0,Unsatisfied,536373,20679,EDWARDIAN PARASOL RED,6,12/1/2010 9:02,4.95,United Kingdom,5/31/2020 20:52,Home,23.0,3820.0,Credit Card,45.0,0.0,Ellen Kent,0.0,0.0,Mobile Phone,1.0,8.0,Debit Card,2.0,4.0,Mobile Phone,2.0,Single,2.0,0.0,22.0,0.0,1.0,0.0,111.02,8be26417e499e19c531a3ebfd1b14c20,364.0,428.8,5/8/2018 23:13,5.0,6cdd53843498f92890544667809f1595,credit_card,delivered,900.0,25.0,12.0,38.0,toritama,PE,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,8.0,53.0,1/20/2020,1/26/2020,Standard Class,Consumer,United States,Michigan,48185,Central,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",19.05,0.0,8.9535
154.0,Female,37.0,Houston,Bronze,430.8,7.0,3.4,False,23.0,Neutral,536373,37370,RETRO COFFEE MUGS ASSORTED,6,12/1/2010 9:02,1.06,United Kingdom,11/2/2021 23:13,Clothing,14.0,5020.0,Credit Card,18.0,1.0,Cheryl Espinoza,0.0,19.0,Mobile Phone,3.0,6.0,E wallet,3.0,3.0,Fashion,5.0,Married,2.0,0.0,25.0,4.0,15.0,7.0,204.53,73df19345d0de1ae473fdfd37070f16c,349.9,368.92,18-10-2017 14:25,5.0,6cdd53843498f92890544667809f1595,credit_card,delivered,900.0,25.0,12.0,38.0,betim,MG,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,6.0,54.0,1/20/2020,1/26/2020,Standard Class,Corporate,United States,Tennessee,37167,South,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine,67.194,0.7,-51.5154
156.0,Male,35.0,Los Angeles,Silver,810.9,12.0,4.3,False,13.0,Neutral,536373,21071,VINTAGE BILLBOARD DRINK ME MUG,6,12/1/2010 9:02,1.06,United Kingdom,2/9/2020 15:44,Books,283.0,2673.0,Cash,18.0,0.0,Cheryl Espinoza,0.0,4.0,Phone,1.0,18.0,Credit Card,3.0,3.0,Mobile Phone,2.0,Divorced,9.0,1.0,23.0,1.0,1.0,2.0,139.29,abfb34ed11820c7247adfb30fe5bb7ae,349.9,371.05,20-01-2017 00:25,5.0,6cdd53843498f92890544667809f1595,credit_card,delivered,900.0,25.0,12.0,38.0,boa esperanca,ES,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,4.0,56.0,1/20/2020,1/26/2020,Standard Class,Consumer,United States,Arkansas,72401,South,Office Supplies,Envelopes,Staple envelope,23.34,0.0,10.9698
159.0,Male,32.0,Miami,Silver,670.3,10.0,3.8,True,33.0,Unsatisfied,536373,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,12/1/2010 9:02,6.95,United Kingdom,2/4/2020 14:27,Clothing,350.0,1752.0,Cash,54.0,1.0,Cheyenne James,0.0,23.0,Phone,1.0,6.0,Credit Card,2.0,4.0,Mobile Phone,3.0,Divorced,3.0,0.0,15.0,0.0,1.0,2.0,136.9,3f4d686018624f3b9275acdb244b0fa4,349.9,419.27,10/3/2018 14:52,5.0,6cdd53843498f92890544667809f1595,credit_card,delivered,900.0,25.0,12.0,38.0,junqueiro,AL,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,10.0,59.0,1/20/2020,1/26/2020,Standard Class,Consumer,United States,Michigan,48185,Central,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,66.58,0.0,15.9792
160.0,Female,36.0,Houston,Bronze,460.5,8.0,3.1,False,19.0,Neutral,536373,82482,WOODEN PICTURE FRAME WHITE FINISH,6,12/1/2010 9:02,2.1,United Kingdom,1/7/2021 0:04,Home,66.0,2892.0,Cash,54.0,0.0,Cheyenne James,0.0,26.0,Phone,1.0,19.0,Credit Card,2.0,2.0,Laptop & Accessory,5.0,Married,2.0,0.0,11.0,1.0,1.0,3.0,144.5,396cf83a5c0a10f81804e755cae565ab,349.9,364.05,5/1/2018 9:35,5.0,6cdd53843498f92890544667809f1595,credit_card,delivered,900.0,25.0,12.0,38.0,curitiba,PR,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,5.0,60.0,1/20/2020,1/26/2020,Standard Class,Consumer,United States,Arkansas,72401,South,Technology,Phones,Apple iPhone 5C,699.93,0.0,181.9818
164.0,Male,29.0,San Francisco,Gold,1370.2,18.0,4.7,False,10.0,Satisfied,536373,22752,SET 7 BABUSHKA NESTING BOXES,2,12/1/2010 9:02,7.65,United Kingdom,9/16/2022 13:46,Clothing,195.0,3818.0,PayPal,21.0,1.0,Lisa Dennis,0.0,7.0,Computer,1.0,8.0,Debit Card,2.0,4.0,Laptop & Accessory,3.0,Divorced,2.0,0.0,17.0,0.0,1.0,9.0,195.47,262bf694d9c87de7844dd80b98fcfef3,349.9,372.08,8/3/2018 9:27,4.0,6cdd53843498f92890544667809f1595,credit_card,delivered,900.0,25.0,12.0,38.0,vespasiano,MG,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,5.0,64.0,1/21/2020,1/24/2020,Standard Class,Corporate,Canada,Ontario,M7A,East,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",31.4,0.0,13.19
168.0,Male,34.0,Los Angeles,Silver,800.2,11.0,4.1,False,17.0,Neutral,536375,71053,WHITE METAL LANTERN,6,12/1/2010 9:32,3.39,United Kingdom,9/3/2022 16:41,Electronics,443.0,1884.0,Credit Card,50.0,1.0,Peter Watson,1.0,0.0,Mobile Phone,1.0,29.0,Debit Card,2.0,4.0,Laptop & Accessory,3.0,Divorced,4.0,1.0,13.0,1.0,1.0,1.0,159.16,c40b742c11a9df1f4d5cda8301dace51,364.0,386.5,13-06-2018 21:28,5.0,6cdd53843498f92890544667809f1595,credit_card,delivered,900.0,25.0,12.0,38.0,belo horizonte,MG,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,4.0,68.0,1/23/2020,1/28/2020,Standard Class,Consumer,United States,Nevada,89115,West,Office Supplies,Paper,Xerox 195,40.08,0.0,19.2384
171.0,Male,27.0,Miami,Silver,700.4,13.0,4.0,True,53.0,Unsatisfied,536375,37370,RETRO COFFEE MUGS ASSORTED,6,12/1/2010 9:32,1.06,United Kingdom,11/28/2020 15:28,Home,249.0,2925.0,Credit Card,50.0,0.0,Peter Watson,1.0,10.0,Phone,1.0,27.0,Debit Card,3.0,2.0,Mobile Phone,5.0,Divorced,2.0,1.0,12.0,0.0,1.0,7.0,135.64,c70cb30c4935057ce1fe28f7f1226507,349.9,369.6,4/1/2018 13:52,5.0,6cdd53843498f92890544667809f1595,credit_card,delivered,900.0,25.0,12.0,38.0,tubarao,SC,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,4.0,71.0,1/26/2020,1/31/2020,Standard Class,Home Office,United States,Virginia,22304,South,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",62.82,0.0,30.7818
